Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Flag_New,Flag_Old,Flag_Recent,Flag_EcoEngine,Flag_Luxury,Flag_TopSeller,Flag_LowSeller
X3,2014,Asia,Blue,Hybrid,Automatic,3.4,119629,61991.0,8585,High,0,1,0,0,0,1,0
i3,2017,Europe,Grey,Diesel,Automatic,4.8,143001,91816.0,5420,Low,0,1,0,0,1,0,0
i3,2010,Europe,Black,Electric,Automatic,2.0,184216,113855.0,9107,High,0,1,0,0,1,1,0
i3,2012,Asia,Grey,Hybrid,Automatic,1.5,824,79212.0,1630,Low,1,1,0,1,1,0,1
X6,2012,Asia,White,Petrol,Automatic,1.8,177874,42368.0,7963,High,0,1,0,0,0,1,0
5 Series,2018,North America,Blue,Hybrid,Manual,3.1,108051,44131.0,4802,Low,0,1,0,0,0,0,0
i3,2014,North America,Blue,Electric,Manual,4.0,62966,114420.0,1484,Low,0,1,0,0,1,0,1
X3,2021,Europe,Blue,Diesel,Manual,3.5,168050,78620.0,364,Low,0,0,1,0,1,0,1
i8,2018,Europe,Red,Electric,Manual,3.2,105464,93493.0,5872,Low,0,1,0,0,1,0,0
M5,2022,Europe,Red,Hybrid,Manual,2.7,133599,105667.0,2633,Low,0,0,1,0,1,0,0
5 Series,2018,Asia,Red,Electric,Automatic,2.6,151318,51424.0,5379,Low,0,1,0,0,0,0,0
X6,2010,Europe,Grey,Electric,Automatic,2.8,158655,108585.0,1143,Low,0,1,0,0,1,0,1
X6,2011,Africa,Blue,Petrol,Automatic,3.6,87565,44678.0,6582,Low,0,1,0,0,0,0,0
3 Series,2014,Asia,Grey,Electric,Manual,2.1,79957,34920.0,7934,High,0,1,0,0,0,1,0
M5,2013,South America,Silver,Petrol,Manual,4.2,197341,79287.0,8410,High,0,1,0,0,1,1,0
5 Series,2024,South America,Grey,Petrol,Automatic,3.5,155227,68131.0,2990,Low,0,0,1,0,0,0,0
X3,2019,South America,Blue,Petrol,Manual,2.4,196091,117984.0,6251,Low,0,0,0,0,1,0,0
7 Series,2018,South America,Silver,Electric,Automatic,3.3,32551,116746.0,4524,Low,0,1,0,0,1,0,0
M3,2016,South America,Silver,Hybrid,Manual,4.9,17592,61143.0,5962,Low,0,1,0,0,0,0,0
i8,2015,South America,Grey,Petrol,Automatic,1.6,181789,60494.0,264,Low,0,1,0,1,0,0,1
M5,2016,North America,Blue,Electric,Manual,2.2,102130,99702.0,5462,Low,0,1,0,0,1,0,0
5 Series,2010,Asia,White,Petrol,Manual,3.1,76674,55699.0,1271,Low,0,1,0,0,0,0,1
M5,2010,North America,Blue,Petrol,Manual,3.7,41719,63169.0,5218,Low,0,1,0,0,0,0,0
X5,2017,Africa,Blue,Hybrid,Automatic,2.2,93410,119523.0,8660,High,0,1,0,0,1,1,0
M3,2022,North America,Black,Electric,Manual,4.8,77763,44059.0,7149,High,0,0,1,0,0,0,0
X5,2022,Africa,White,Electric,Automatic,3.7,21857,72077.0,630,Low,0,0,1,0,0,0,1
X6,2011,South America,Blue,Hybrid,Automatic,4.6,14668,95498.0,4857,Low,0,1,0,0,1,0,0
M5,2021,North America,White,Diesel,Manual,2.7,6721,104441.0,275,Low,0,0,1,0,1,0,1
X3,2019,South America,Grey,Diesel,Automatic,4.4,146083,56071.0,4475,Low,0,0,0,0,0,0,0
i8,2020,North America,White,Diesel,Automatic,2.8,106141,41298.0,9981,High,0,0,1,0,0,1,0
3 Series,2018,Africa,Red,Petrol,Automatic,2.4,125391,84045.0,5618,Low,0,1,0,0,1,0,0
3 Series,2016,Middle East,Red,Electric,Automatic,4.7,170421,67041.0,2647,Low,0,1,0,0,0,0,0
X6,2015,Asia,White,Diesel,Automatic,1.8,26527,56696.0,2242,Low,0,1,0,0,0,0,1
7 Series,2010,Europe,White,Hybrid,Automatic,4.8,110286,99583.0,3875,Low,0,1,0,0,1,0,0
X5,2010,Asia,Red,Hybrid,Manual,3.1,8110,36241.0,7914,High,0,1,0,0,0,1,0
X5,2011,Europe,Silver,Hybrid,Manual,5.0,130914,107248.0,9022,High,0,1,0,0,1,1,0
7 Series,2015,Middle East,Grey,Hybrid,Manual,3.4,187728,93492.0,4249,Low,0,1,0,0,1,0,0
X5,2023,South America,Black,Electric,Manual,4.2,186065,95460.0,5213,Low,0,0,1,0,1,0,0
i3,2015,Europe,Black,Electric,Automatic,1.5,183967,80980.0,6760,Low,0,1,0,1,1,0,0
i3,2011,Asia,Black,Hybrid,Automatic,3.2,63503,67899.0,7757,High,0,1,0,0,0,1,0
3 Series,2010,Asia,White,Diesel,Manual,4.1,120640,118698.0,8512,High,0,1,0,0,1,1,0
7 Series,2019,Africa,Grey,Hybrid,Automatic,4.2,147597,61565.0,3694,Low,0,0,0,0,0,0,0
M3,2014,Middle East,Blue,Petrol,Manual,2.1,172097,69608.0,2304,Low,0,1,0,0,0,0,1
7 Series,2014,Africa,Red,Petrol,Automatic,3.0,193221,42059.0,148,Low,0,1,0,0,0,0,1
X1,2011,Europe,Red,Hybrid,Automatic,3.0,138201,46170.0,7054,High,0,1,0,0,0,0,0
X6,2015,South America,Blue,Electric,Automatic,1.9,186294,43639.0,7109,High,0,1,0,0,0,0,0
M3,2018,South America,Red,Petrol,Manual,3.1,119339,115229.0,2805,Low,0,1,0,0,1,0,0
X6,2011,North America,White,Hybrid,Manual,4.3,64599,82560.0,412,Low,0,1,0,0,1,0,1
M5,2019,North America,White,Diesel,Automatic,2.6,145593,69172.0,5396,Low,0,0,0,0,0,0,0
X3,2011,Africa,Silver,Hybrid,Automatic,3.0,65574,109168.0,373,Low,0,1,0,0,1,0,1
i8,2012,South America,Grey,Diesel,Manual,4.9,130353,97020.0,4174,Low,0,1,0,0,1,0,0
5 Series,2022,Europe,Blue,Hybrid,Automatic,1.6,151978,107141.0,1286,Low,0,0,1,1,1,0,1
5 Series,2016,Europe,Black,Hybrid,Automatic,3.6,36382,116588.0,3524,Low,0,1,0,0,1,0,0
X1,2015,Asia,Red,Hybrid,Manual,4.1,73791,106354.0,3253,Low,0,1,0,0,1,0,0
X1,2021,Asia,Black,Electric,Manual,4.2,194552,91493.0,1152,Low,0,0,1,0,1,0,1
i8,2017,North America,Grey,Diesel,Manual,4.0,75009,85610.0,4772,Low,0,1,0,0,1,0,0
i8,2024,Europe,White,Petrol,Manual,4.0,164138,34040.0,9429,High,0,0,1,0,0,1,0
X6,2017,North America,Black,Petrol,Automatic,1.7,12031,31459.0,9332,High,0,1,0,1,0,1,0
X5,2015,Europe,Red,Petrol,Manual,3.4,87591,90402.0,1606,Low,0,1,0,0,1,0,1
7 Series,2021,North America,White,Electric,Automatic,4.2,14393,118413.0,1979,Low,0,0,1,0,1,0,1
X3,2020,Europe,Black,Hybrid,Automatic,1.8,95059,54035.0,9818,High,0,0,1,0,0,1,0
X1,2019,Africa,Silver,Diesel,Automatic,1.5,195696,97489.0,2184,Low,0,0,0,1,1,0,1
i8,2012,Asia,White,Hybrid,Manual,4.4,6229,81938.0,8603,High,0,1,0,0,1,1,0
X3,2012,Middle East,Blue,Electric,Automatic,4.0,112908,77259.0,8604,High,0,1,0,0,1,1,0
3 Series,2024,Middle East,Blue,Hybrid,Manual,2.9,199167,118633.0,4949,Low,0,0,1,0,1,0,0
X3,2010,North America,Red,Diesel,Manual,4.8,129146,102462.0,1459,Low,0,1,0,0,1,0,1
X6,2016,South America,Red,Hybrid,Manual,4.2,110035,116290.0,6708,Low,0,1,0,0,1,0,0
3 Series,2014,Asia,Silver,Hybrid,Automatic,4.9,107627,40527.0,6602,Low,0,1,0,0,0,0,0
X6,2013,Africa,Silver,Diesel,Manual,4.8,7926,50439.0,2917,Low,0,1,0,0,0,0,0
i8,2019,Africa,Grey,Electric,Manual,3.2,107742,119561.0,7896,High,0,0,0,0,1,1,0
X3,2024,South America,White,Hybrid,Manual,4.1,25494,54678.0,8020,High,0,0,1,0,0,1,0
X3,2013,Asia,Grey,Hybrid,Automatic,3.8,50585,84735.0,6786,Low,0,1,0,0,1,0,0
M3,2023,North America,Red,Petrol,Manual,4.3,131818,115377.0,7246,High,0,0,1,0,1,0,0
M3,2013,Europe,White,Electric,Automatic,4.3,183540,44647.0,8915,High,0,1,0,0,0,1,0
5 Series,2015,Europe,Silver,Diesel,Manual,2.0,151773,58956.0,8734,High,0,1,0,0,0,1,0
X5,2024,Asia,Silver,Diesel,Automatic,2.3,98028,116106.0,1957,Low,0,0,1,0,1,0,1
X1,2017,Europe,Red,Electric,Manual,2.4,90440,109308.0,6459,Low,0,1,0,0,1,0,0
X5,2017,Asia,Grey,Hybrid,Manual,4.4,177574,91759.0,1156,Low,0,1,0,0,1,0,1
7 Series,2014,Middle East,Red,Diesel,Automatic,4.3,90356,51249.0,9714,High,0,1,0,0,0,1,0
X6,2024,North America,Blue,Hybrid,Automatic,3.2,61355,30096.0,8815,High,0,0,1,0,0,1,0
X6,2015,Asia,Silver,Petrol,Manual,3.5,69630,107117.0,2760,Low,0,1,0,0,1,0,0
M5,2013,North America,Silver,Diesel,Automatic,4.4,12363,82947.0,6416,Low,0,1,0,0,1,0,0
5 Series,2021,South America,Red,Electric,Automatic,2.6,122235,89530.0,2712,Low,0,0,1,0,1,0,0
X1,2023,Asia,Grey,Electric,Automatic,1.7,170699,41330.0,1407,Low,0,0,1,1,0,0,1
M3,2020,North America,Red,Electric,Manual,3.2,98394,70624.0,2424,Low,0,0,1,0,0,0,1
X3,2022,North America,White,Petrol,Automatic,4.7,172333,92277.0,4575,Low,0,0,1,0,1,0,0
X1,2018,North America,Blue,Diesel,Manual,4.3,49258,36307.0,595,Low,0,1,0,0,0,0,1
5 Series,2017,Asia,Blue,Diesel,Automatic,2.8,58573,76232.0,3812,Low,0,1,0,0,1,0,0
5 Series,2019,North America,Grey,Hybrid,Automatic,1.7,33162,44573.0,4729,Low,0,0,0,1,0,0,0
5 Series,2021,Asia,White,Hybrid,Automatic,3.7,195169,61699.0,2396,Low,0,0,1,0,0,0,1
5 Series,2019,North America,Black,Hybrid,Manual,4.4,74406,113156.0,4851,Low,0,0,0,0,1,0,0
X1,2010,Africa,Red,Electric,Manual,3.8,73475,95912.0,2512,Low,0,1,0,0,1,0,1
M3,2024,Middle East,Black,Diesel,Automatic,3.0,10914,80568.0,6663,Low,0,0,1,0,1,0,0
5 Series,2011,North America,White,Petrol,Manual,1.9,176628,71563.0,5698,Low,0,1,0,0,0,0,0
X5,2018,Asia,Silver,Diesel,Manual,4.7,65541,64641.0,9492,High,0,1,0,0,0,1,0
7 Series,2017,Asia,Black,Hybrid,Automatic,2.5,171073,31289.0,6865,Low,0,1,0,0,0,0,0
M5,2023,Middle East,Blue,Hybrid,Automatic,2.3,978,62128.0,9246,High,1,0,1,0,0,1,0
5 Series,2012,North America,Blue,Hybrid,Manual,4.4,40116,98227.0,6337,Low,0,1,0,0,1,0,0
5 Series,2017,North America,Grey,Petrol,Manual,4.9,2770,85242.0,783,Low,0,1,0,0,1,0,1
M5,2021,North America,Blue,Electric,Manual,3.8,171976,53860.0,2367,Low,0,0,1,0,0,0,1
i8,2010,South America,Black,Electric,Automatic,3.7,6162,112689.0,977,Low,0,1,0,0,1,0,1
M3,2019,Middle East,Silver,Hybrid,Automatic,2.6,98828,32291.0,6174,Low,0,0,0,0,0,0,0
3 Series,2013,Europe,White,Petrol,Automatic,1.6,9149,70832.0,608,Low,0,1,0,1,0,0,1
X6,2012,South America,Grey,Hybrid,Manual,2.2,59515,90936.0,3504,Low,0,1,0,0,1,0,0
3 Series,2015,Middle East,Grey,Hybrid,Manual,3.5,155911,101610.0,8962,High,0,1,0,0,1,1,0
7 Series,2016,South America,Blue,Hybrid,Manual,2.0,133496,74232.0,2219,Low,0,1,0,0,0,0,1
7 Series,2013,Europe,White,Diesel,Manual,4.6,152667,79491.0,320,Low,0,1,0,0,1,0,1
i3,2016,Europe,White,Diesel,Manual,2.2,186729,40164.0,6830,Low,0,1,0,0,0,0,0
X6,2018,South America,Grey,Petrol,Manual,3.3,170824,104793.0,9864,High,0,1,0,0,1,1,0
7 Series,2020,South America,Blue,Hybrid,Automatic,3.3,40718,102344.0,7717,High,0,0,1,0,1,1,0
X1,2011,Africa,Blue,Petrol,Automatic,3.6,99901,34496.0,4159,Low,0,1,0,0,0,0,0
X5,2020,Africa,Red,Petrol,Manual,2.6,119996,88357.0,6184,Low,0,0,1,0,1,0,0
3 Series,2012,Europe,White,Hybrid,Automatic,4.6,151064,107914.0,4693,Low,0,1,0,0,1,0,0
X1,2014,Asia,White,Electric,Manual,3.1,183808,59728.0,1852,Low,0,1,0,0,0,0,1
3 Series,2012,North America,Blue,Hybrid,Automatic,4.0,133578,66286.0,8422,High,0,1,0,0,0,1,0
3 Series,2020,Europe,Blue,Petrol,Manual,3.7,105742,118124.0,2561,Low,0,0,1,0,1,0,1
3 Series,2017,Asia,Blue,Electric,Manual,1.9,68057,41876.0,3400,Low,0,1,0,0,0,0,0
3 Series,2021,Europe,Grey,Electric,Manual,3.7,124462,79635.0,9232,High,0,0,1,0,1,1,0
X3,2019,North America,Blue,Hybrid,Automatic,3.4,70816,118113.0,9019,High,0,0,0,0,1,1,0
X1,2017,South America,Grey,Diesel,Manual,4.6,168802,71867.0,9332,High,0,1,0,0,0,1,0
7 Series,2017,Middle East,Red,Hybrid,Manual,4.6,66541,80962.0,6168,Low,0,1,0,0,1,0,0
5 Series,2021,North America,Red,Hybrid,Manual,2.0,133530,46213.0,1875,Low,0,0,1,0,0,0,1
X6,2021,South America,Silver,Electric,Automatic,1.8,93619,32565.0,9219,High,0,0,1,0,0,1,0
5 Series,2018,South America,Grey,Diesel,Automatic,2.5,97099,108647.0,6302,Low,0,1,0,0,1,0,0
7 Series,2013,Middle East,Grey,Hybrid,Manual,5.0,131795,33672.0,3576,Low,0,1,0,0,0,0,0
i8,2014,South America,Silver,Hybrid,Automatic,1.6,83211,42271.0,4690,Low,0,1,0,1,0,0,0
M3,2014,North America,Black,Diesel,Manual,3.9,72057,38451.0,2085,Low,0,1,0,0,0,0,1
X3,2017,North America,Grey,Electric,Automatic,3.6,82681,86594.0,549,Low,0,1,0,0,1,0,1
M5,2016,Middle East,Silver,Hybrid,Manual,3.8,121276,89317.0,6866,Low,0,1,0,0,1,0,0
i3,2018,Asia,Grey,Diesel,Manual,2.3,94213,101177.0,8295,High,0,1,0,0,1,1,0
X5,2024,Asia,White,Hybrid,Automatic,2.3,152531,119048.0,382,Low,0,0,1,0,1,0,1
X1,2024,South America,Blue,Diesel,Automatic,3.0,54486,38209.0,3643,Low,0,0,1,0,0,0,0
3 Series,2023,Europe,Silver,Electric,Automatic,1.8,8654,74653.0,672,Low,0,0,1,0,0,0,1
i8,2017,North America,Black,Electric,Automatic,1.8,176510,104569.0,1843,Low,0,1,0,0,1,0,1
5 Series,2011,Europe,White,Electric,Automatic,1.8,85339,111666.0,2368,Low,0,1,0,0,1,0,1
i3,2019,Europe,White,Electric,Manual,3.5,11041,69972.0,9305,High,0,0,0,0,0,1,0
3 Series,2021,Middle East,Blue,Petrol,Automatic,2.9,185735,102170.0,2812,Low,0,0,1,0,1,0,0
M3,2013,Africa,Grey,Petrol,Manual,2.5,179155,87922.0,5772,Low,0,1,0,0,1,0,0
5 Series,2015,South America,White,Hybrid,Manual,2.6,37051,51409.0,6944,Low,0,1,0,0,0,0,0
M3,2021,North America,Red,Hybrid,Manual,2.2,167088,38070.0,1028,Low,0,0,1,0,0,0,1
X6,2011,Africa,Grey,Hybrid,Automatic,2.9,124689,49908.0,9384,High,0,1,0,0,0,1,0
i8,2016,Africa,White,Petrol,Manual,2.2,159870,30243.0,2608,Low,0,1,0,0,0,0,0
7 Series,2012,North America,Black,Diesel,Automatic,3.9,142227,53936.0,5013,Low,0,1,0,0,0,0,0
i3,2022,Middle East,Red,Electric,Manual,1.9,157097,59432.0,462,Low,0,0,1,0,0,0,1
M5,2012,Middle East,Red,Diesel,Automatic,4.8,76524,86079.0,5479,Low,0,1,0,0,1,0,0
3 Series,2020,South America,White,Hybrid,Automatic,1.8,145400,63262.0,1159,Low,0,0,1,0,0,0,1
X6,2011,North America,Blue,Hybrid,Automatic,4.8,43376,72062.0,2100,Low,0,1,0,0,0,0,1
M5,2020,South America,Grey,Hybrid,Automatic,4.4,151126,78412.0,138,Low,0,0,1,0,1,0,1
i3,2017,Africa,Red,Diesel,Automatic,3.9,67389,68586.0,8832,High,0,1,0,0,0,1,0
i3,2015,South America,Red,Electric,Automatic,4.7,126521,116030.0,6638,Low,0,1,0,0,1,0,0
M5,2010,South America,Red,Diesel,Automatic,2.0,62183,93341.0,824,Low,0,1,0,0,1,0,1
M3,2021,Middle East,White,Hybrid,Automatic,2.1,192428,107637.0,981,Low,0,0,1,0,1,0,1
M3,2010,North America,Grey,Diesel,Manual,2.4,164754,91856.0,4798,Low,0,1,0,0,1,0,0
5 Series,2016,Asia,Blue,Hybrid,Manual,2.4,9095,35170.0,8553,High,0,1,0,0,0,1,0
7 Series,2017,Africa,Black,Electric,Manual,2.6,125180,34281.0,138,Low,0,1,0,0,0,0,1
M3,2014,South America,Black,Hybrid,Automatic,3.5,133783,43223.0,3166,Low,0,1,0,0,0,0,0
5 Series,2021,North America,Red,Electric,Automatic,1.6,118507,59893.0,9349,High,0,0,1,1,0,1,0
X3,2020,North America,Black,Diesel,Manual,2.8,86263,85369.0,5358,Low,0,0,1,0,1,0,0
i3,2014,North America,White,Diesel,Manual,2.4,159759,38304.0,836,Low,0,1,0,0,0,0,1
X3,2013,Middle East,Silver,Diesel,Automatic,3.6,107916,114365.0,3177,Low,0,1,0,0,1,0,0
i3,2023,North America,Red,Diesel,Automatic,4.9,58360,106555.0,9000,High,0,0,1,0,1,1,0
i8,2015,Asia,Grey,Petrol,Manual,3.3,20893,79587.0,6794,Low,0,1,0,0,1,0,0
7 Series,2023,Asia,Grey,Petrol,Automatic,3.0,83084,99436.0,7444,High,0,0,1,0,1,0,0
M3,2015,Europe,Silver,Petrol,Automatic,2.8,26324,69077.0,6835,Low,0,1,0,0,0,0,0
M3,2012,North America,Blue,Petrol,Manual,4.2,172370,71178.0,7283,High,0,1,0,0,0,0,0
i8,2018,North America,Silver,Petrol,Manual,1.8,127397,108852.0,8317,High,0,1,0,0,1,1,0
7 Series,2021,Asia,Grey,Electric,Automatic,4.9,33259,72307.0,464,Low,0,0,1,0,0,0,1
5 Series,2020,Middle East,Blue,Diesel,Automatic,3.0,172069,68537.0,3800,Low,0,0,1,0,0,0,0
M3,2023,Middle East,White,Petrol,Manual,2.6,76978,79644.0,6768,Low,0,0,1,0,1,0,0
i3,2016,Africa,Grey,Petrol,Manual,4.9,29327,55052.0,1188,Low,0,1,0,0,0,0,1
3 Series,2010,Europe,Black,Petrol,Manual,4.8,54317,42620.0,671,Low,0,1,0,0,0,0,1
X6,2024,Asia,Red,Electric,Automatic,3.7,150014,76270.0,4255,Low,0,0,1,0,1,0,0
i3,2022,South America,Silver,Hybrid,Automatic,1.6,107435,72131.0,1650,Low,0,0,1,1,0,0,1
X6,2016,South America,Silver,Petrol,Automatic,4.1,39025,68617.0,9781,High,0,1,0,0,0,1,0
X6,2014,South America,Grey,Petrol,Automatic,2.7,117455,115437.0,8739,High,0,1,0,0,1,1,0
i3,2014,Middle East,Silver,Petrol,Automatic,2.9,13744,114582.0,341,Low,0,1,0,0,1,0,1
i8,2023,Africa,Red,Hybrid,Manual,2.1,9615,78763.0,1474,Low,0,0,1,0,1,0,1
i8,2022,North America,Silver,Electric,Manual,3.3,163082,71483.0,8516,High,0,0,1,0,0,1,0
X1,2011,Africa,White,Diesel,Automatic,4.1,59801,101377.0,1833,Low,0,1,0,0,1,0,1
3 Series,2013,North America,Silver,Electric,Manual,2.5,22479,48744.0,702,Low,0,1,0,0,0,0,1
3 Series,2021,Africa,Blue,Petrol,Manual,4.8,156857,99684.0,8720,High,0,0,1,0,1,1,0
M5,2015,Asia,Blue,Hybrid,Automatic,2.2,23569,66700.0,2011,Low,0,1,0,0,0,0,1
7 Series,2019,South America,Grey,Electric,Manual,1.7,150724,64971.0,8178,High,0,0,0,1,0,1,0
X5,2024,Africa,Silver,Hybrid,Manual,3.8,15169,59346.0,4139,Low,0,0,1,0,0,0,0
7 Series,2020,Middle East,Silver,Diesel,Automatic,4.5,154909,42996.0,9757,High,0,0,1,0,0,1,0
X3,2016,Africa,Grey,Diesel,Manual,4.8,186526,65640.0,6302,Low,0,1,0,0,0,0,0
7 Series,2020,Asia,White,Electric,Automatic,4.2,134808,30385.0,7303,High,0,0,1,0,0,0,0
i3,2014,Asia,Grey,Diesel,Automatic,2.2,148842,103287.0,901,Low,0,1,0,0,1,0,1
X5,2018,Asia,Red,Electric,Automatic,4.9,164702,95504.0,5161,Low,0,1,0,0,1,0,0
3 Series,2012,South America,Silver,Electric,Manual,4.7,146898,105151.0,8060,High,0,1,0,0,1,1,0
X1,2010,South America,Black,Hybrid,Automatic,2.1,34806,76166.0,1050,Low,0,1,0,0,1,0,1
i3,2013,South America,White,Petrol,Manual,3.5,32737,46506.0,6595,Low,0,1,0,0,0,0,0
X3,2018,Asia,White,Petrol,Automatic,3.4,18641,105087.0,6474,Low,0,1,0,0,1,0,0
7 Series,2013,Middle East,Black,Hybrid,Manual,3.0,159718,45485.0,123,Low,0,1,0,0,0,0,1
i3,2011,Europe,White,Petrol,Automatic,4.9,191423,91014.0,8381,High,0,1,0,0,1,1,0
M3,2019,Africa,Red,Petrol,Manual,1.7,133615,41102.0,5214,Low,0,0,0,1,0,0,0
i8,2023,Europe,Blue,Electric,Automatic,3.7,66464,119519.0,3387,Low,0,0,1,0,1,0,0
3 Series,2023,Europe,Grey,Diesel,Automatic,2.2,185324,78399.0,8440,High,0,0,1,0,1,1,0
7 Series,2014,Africa,Silver,Electric,Automatic,3.3,2178,71442.0,355,Low,0,1,0,0,0,0,1
M3,2012,Middle East,Grey,Petrol,Automatic,4.2,163171,38290.0,6760,Low,0,1,0,0,0,0,0
X3,2022,South America,Grey,Hybrid,Automatic,2.4,90547,90865.0,9334,High,0,0,1,0,1,1,0
i8,2021,South America,Silver,Petrol,Automatic,2.9,191321,44584.0,9102,High,0,0,1,0,0,1,0
3 Series,2022,Middle East,Silver,Electric,Manual,4.8,40223,46538.0,5903,Low,0,0,1,0,0,0,0
i8,2018,Africa,Blue,Petrol,Manual,4.2,128560,47618.0,5121,Low,0,1,0,0,0,0,0
3 Series,2013,Middle East,Silver,Diesel,Manual,3.5,160799,62613.0,2451,Low,0,1,0,0,0,0,1
i3,2015,Asia,Red,Diesel,Manual,2.3,98723,99251.0,1798,Low,0,1,0,0,1,0,1
i3,2011,Asia,Silver,Petrol,Manual,3.0,184200,36378.0,7324,High,0,1,0,0,0,0,0
7 Series,2015,South America,Grey,Petrol,Automatic,4.2,169744,30025.0,7597,High,0,1,0,0,0,1,0
X1,2012,Europe,Silver,Petrol,Automatic,4.4,23561,59636.0,3795,Low,0,1,0,0,0,0,0
M5,2021,Europe,Grey,Petrol,Automatic,2.4,31578,32244.0,3892,Low,0,0,1,0,0,0,0
X5,2021,South America,Red,Diesel,Manual,3.8,111120,96382.0,1964,Low,0,0,1,0,1,0,1
X6,2018,Africa,White,Hybrid,Automatic,1.8,103145,103014.0,5857,Low,0,1,0,0,1,0,0
M3,2020,Middle East,Red,Petrol,Manual,1.6,199512,93776.0,3744,Low,0,0,1,1,1,0,0
M5,2011,North America,Silver,Diesel,Automatic,3.4,47230,102965.0,9367,High,0,1,0,0,1,1,0
7 Series,2024,South America,Silver,Petrol,Automatic,2.3,49680,38013.0,1421,Low,0,0,1,0,0,0,1
i3,2021,North America,Black,Petrol,Manual,1.8,134777,98665.0,7239,High,0,0,1,0,1,0,0
M5,2021,Europe,Silver,Hybrid,Manual,4.1,93750,53793.0,458,Low,0,0,1,0,0,0,1
5 Series,2018,Middle East,Red,Diesel,Manual,3.2,39118,64299.0,2058,Low,0,1,0,0,0,0,1
X6,2014,North America,White,Hybrid,Manual,4.3,49258,51150.0,262,Low,0,1,0,0,0,0,1
3 Series,2017,Africa,Grey,Petrol,Automatic,3.8,120140,99721.0,244,Low,0,1,0,0,1,0,1
X6,2011,Africa,Blue,Electric,Manual,4.1,175866,38176.0,8735,High,0,1,0,0,0,1,0
X6,2015,Asia,Grey,Electric,Automatic,2.6,51013,78067.0,9203,High,0,1,0,0,1,1,0
M3,2012,South America,Black,Hybrid,Manual,2.4,106537,36482.0,8195,High,0,1,0,0,0,1,0
3 Series,2021,Europe,Silver,Diesel,Manual,3.6,137939,113976.0,3543,Low,0,0,1,0,1,0,0
3 Series,2021,North America,Black,Hybrid,Automatic,2.2,169794,45191.0,3025,Low,0,0,1,0,0,0,0
i8,2023,Africa,Grey,Petrol,Manual,4.4,14683,76727.0,3238,Low,0,0,1,0,1,0,0
X3,2019,Asia,Blue,Electric,Manual,3.3,73858,51012.0,1226,Low,0,0,0,0,0,0,1
X1,2014,North America,White,Diesel,Manual,2.3,126048,32564.0,2347,Low,0,1,0,0,0,0,1
3 Series,2021,North America,Red,Hybrid,Manual,3.7,123713,31019.0,9161,High,0,0,1,0,0,1,0
i8,2017,Middle East,Silver,Hybrid,Manual,4.8,40932,82270.0,568,Low,0,1,0,0,1,0,1
X1,2019,Middle East,Red,Hybrid,Manual,1.8,62748,114311.0,179,Low,0,0,0,0,1,0,1
5 Series,2023,Middle East,Silver,Electric,Automatic,1.9,89549,95077.0,4965,Low,0,0,1,0,1,0,0
7 Series,2010,North America,Blue,Petrol,Manual,4.5,185222,36615.0,5030,Low,0,1,0,0,0,0,0
X6,2014,Asia,Red,Electric,Automatic,1.9,67179,40593.0,4362,Low,0,1,0,0,0,0,0
X3,2012,South America,Blue,Hybrid,Automatic,1.6,187011,31957.0,9773,High,0,1,0,1,0,1,0
i3,2013,Middle East,White,Hybrid,Automatic,2.7,140465,49678.0,9826,High,0,1,0,0,0,1,0
7 Series,2011,Europe,Blue,Electric,Manual,3.1,66324,106123.0,1691,Low,0,1,0,0,1,0,1
3 Series,2018,Asia,Black,Hybrid,Manual,3.5,17624,115982.0,7989,High,0,1,0,0,1,1,0
M3,2012,Asia,Silver,Petrol,Manual,3.3,135560,49370.0,676,Low,0,1,0,0,0,0,1
i8,2024,Middle East,Blue,Electric,Automatic,4.7,31691,49699.0,8303,High,0,0,1,0,0,1,0
M3,2011,South America,Grey,Hybrid,Automatic,4.2,22539,42417.0,6847,Low,0,1,0,0,0,0,0
i8,2019,Middle East,Black,Hybrid,Automatic,4.9,198967,82122.0,3388,Low,0,0,0,0,1,0,0
7 Series,2020,North America,Red,Electric,Automatic,3.2,122814,41531.0,7562,High,0,0,1,0,0,1,0
i3,2018,South America,White,Diesel,Automatic,1.8,167388,68408.0,4298,Low,0,1,0,0,0,0,0
X3,2016,South America,Blue,Diesel,Automatic,4.8,50970,33253.0,8669,High,0,1,0,0,0,1,0
X1,2015,North America,Silver,Electric,Manual,1.5,30896,99852.0,2238,Low,0,1,0,1,1,0,1
3 Series,2010,Asia,Red,Petrol,Manual,4.2,123519,92843.0,7834,High,0,1,0,0,1,1,0
M5,2014,Middle East,Grey,Electric,Automatic,1.6,121123,91662.0,9045,High,0,1,0,1,1,1,0
X1,2021,South America,Black,Petrol,Automatic,4.2,142432,119650.0,5998,Low,0,0,1,0,1,0,0
X1,2020,Middle East,Black,Hybrid,Automatic,4.8,183453,87783.0,5738,Low,0,0,1,0,1,0,0
5 Series,2023,Africa,Blue,Petrol,Automatic,2.9,174945,43081.0,4415,Low,0,0,1,0,0,0,0
X6,2024,Middle East,White,Electric,Automatic,2.3,12672,65275.0,6125,Low,0,0,1,0,0,0,0
